INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionFuelAdder,,,,,,
,,,,,,
region,supplysector,subsector,technology,year,minicam-non-energy-input,input-cost
MP,comm cooking,refined liquids,refined liquids based cooking,1975,tax,15
MP,comm cooking,refined liquids,refined liquids based cooking,1990,tax,15
MP,comm cooking,refined liquids,refined liquids based cooking,2005,tax,15
MP,comm cooking,refined liquids,refined liquids based cooking,2010,tax,15
MP,comm cooking,refined liquids,refined liquids based cooking,2015,tax,15
MP,comm cooking,refined liquids,refined liquids based cooking,2020,tax,15
MP,comm cooking,refined liquids,refined liquids based cooking,2025,tax,15
MP,comm cooking,refined liquids,refined liquids based cooking,2030,tax,15
MP,comm cooking,refined liquids,refined liquids based cooking,2035,tax,15
MP,comm cooking,refined liquids,refined liquids based cooking,2040,tax,15
MP,comm cooking,refined liquids,refined liquids based cooking,2045,tax,15
MP,comm cooking,refined liquids,refined liquids based cooking,2050,tax,15
MP,comm cooking,refined liquids,refined liquids based cooking,2055,tax,15
MP,comm cooking,refined liquids,refined liquids based cooking,2060,tax,15
MP,comm cooking,refined liquids,refined liquids based cooking,2065,tax,15
MP,comm cooking,refined liquids,refined liquids based cooking,2070,tax,15
MP,comm cooking,refined liquids,refined liquids based cooking,2075,tax,15
MP,comm cooking,refined liquids,refined liquids based cooking,2080,tax,15
MP,comm cooking,refined liquids,refined liquids based cooking,2085,tax,15
MP,comm cooking,refined liquids,refined liquids based cooking,2090,tax,15
MP,comm cooking,refined liquids,refined liquids based cooking,2095,tax,15
MP,comm cooking,refined liquids,refined liquids based cooking,2100,tax,15
ML,comm cooking,refined liquids,refined liquids based cooking,1975,tax,15
ML,comm cooking,refined liquids,refined liquids based cooking,1990,tax,15
ML,comm cooking,refined liquids,refined liquids based cooking,2005,tax,15
ML,comm cooking,refined liquids,refined liquids based cooking,2010,tax,15
ML,comm cooking,refined liquids,refined liquids based cooking,2015,tax,15
ML,comm cooking,refined liquids,refined liquids based cooking,2020,tax,15
ML,comm cooking,refined liquids,refined liquids based cooking,2025,tax,15
ML,comm cooking,refined liquids,refined liquids based cooking,2030,tax,15
ML,comm cooking,refined liquids,refined liquids based cooking,2035,tax,15
ML,comm cooking,refined liquids,refined liquids based cooking,2040,tax,15
ML,comm cooking,refined liquids,refined liquids based cooking,2045,tax,15
ML,comm cooking,refined liquids,refined liquids based cooking,2050,tax,15
ML,comm cooking,refined liquids,refined liquids based cooking,2055,tax,15
ML,comm cooking,refined liquids,refined liquids based cooking,2060,tax,15
ML,comm cooking,refined liquids,refined liquids based cooking,2065,tax,15
ML,comm cooking,refined liquids,refined liquids based cooking,2070,tax,15
ML,comm cooking,refined liquids,refined liquids based cooking,2075,tax,15
ML,comm cooking,refined liquids,refined liquids based cooking,2080,tax,15
ML,comm cooking,refined liquids,refined liquids based cooking,2085,tax,15
ML,comm cooking,refined liquids,refined liquids based cooking,2090,tax,15
ML,comm cooking,refined liquids,refined liquids based cooking,2095,tax,15
ML,comm cooking,refined liquids,refined liquids based cooking,2100,tax,15
MN,comm cooking,refined liquids,refined liquids based cooking,1975,tax,15
MN,comm cooking,refined liquids,refined liquids based cooking,1990,tax,15
MN,comm cooking,refined liquids,refined liquids based cooking,2005,tax,15
MN,comm cooking,refined liquids,refined liquids based cooking,2010,tax,15
MN,comm cooking,refined liquids,refined liquids based cooking,2015,tax,15
MN,comm cooking,refined liquids,refined liquids based cooking,2020,tax,15
MN,comm cooking,refined liquids,refined liquids based cooking,2025,tax,15
MN,comm cooking,refined liquids,refined liquids based cooking,2030,tax,15
MN,comm cooking,refined liquids,refined liquids based cooking,2035,tax,15
MN,comm cooking,refined liquids,refined liquids based cooking,2040,tax,15
MN,comm cooking,refined liquids,refined liquids based cooking,2045,tax,15
MN,comm cooking,refined liquids,refined liquids based cooking,2050,tax,15
MN,comm cooking,refined liquids,refined liquids based cooking,2055,tax,15
MN,comm cooking,refined liquids,refined liquids based cooking,2060,tax,15
MN,comm cooking,refined liquids,refined liquids based cooking,2065,tax,15
MN,comm cooking,refined liquids,refined liquids based cooking,2070,tax,15
MN,comm cooking,refined liquids,refined liquids based cooking,2075,tax,15
MN,comm cooking,refined liquids,refined liquids based cooking,2080,tax,15
MN,comm cooking,refined liquids,refined liquids based cooking,2085,tax,15
MN,comm cooking,refined liquids,refined liquids based cooking,2090,tax,15
MN,comm cooking,refined liquids,refined liquids based cooking,2095,tax,15
MN,comm cooking,refined liquids,refined liquids based cooking,2100,tax,15
MZ,comm cooking,refined liquids,refined liquids based cooking,1975,tax,15
MZ,comm cooking,refined liquids,refined liquids based cooking,1990,tax,15
MZ,comm cooking,refined liquids,refined liquids based cooking,2005,tax,15
MZ,comm cooking,refined liquids,refined liquids based cooking,2010,tax,15
MZ,comm cooking,refined liquids,refined liquids based cooking,2015,tax,15
MZ,comm cooking,refined liquids,refined liquids based cooking,2020,tax,15
MZ,comm cooking,refined liquids,refined liquids based cooking,2025,tax,15
MZ,comm cooking,refined liquids,refined liquids based cooking,2030,tax,15
MZ,comm cooking,refined liquids,refined liquids based cooking,2035,tax,15
MZ,comm cooking,refined liquids,refined liquids based cooking,2040,tax,15
MZ,comm cooking,refined liquids,refined liquids based cooking,2045,tax,15
MZ,comm cooking,refined liquids,refined liquids based cooking,2050,tax,15
MZ,comm cooking,refined liquids,refined liquids based cooking,2055,tax,15
MZ,comm cooking,refined liquids,refined liquids based cooking,2060,tax,15
MZ,comm cooking,refined liquids,refined liquids based cooking,2065,tax,15
MZ,comm cooking,refined liquids,refined liquids based cooking,2070,tax,15
MZ,comm cooking,refined liquids,refined liquids based cooking,2075,tax,15
MZ,comm cooking,refined liquids,refined liquids based cooking,2080,tax,15
MZ,comm cooking,refined liquids,refined liquids based cooking,2085,tax,15
MZ,comm cooking,refined liquids,refined liquids based cooking,2090,tax,15
MZ,comm cooking,refined liquids,refined liquids based cooking,2095,tax,15
MZ,comm cooking,refined liquids,refined liquids based cooking,2100,tax,15
NL,comm cooking,refined liquids,refined liquids based cooking,1975,tax,15
NL,comm cooking,refined liquids,refined liquids based cooking,1990,tax,15
NL,comm cooking,refined liquids,refined liquids based cooking,2005,tax,15
NL,comm cooking,refined liquids,refined liquids based cooking,2010,tax,15
NL,comm cooking,refined liquids,refined liquids based cooking,2015,tax,15
NL,comm cooking,refined liquids,refined liquids based cooking,2020,tax,15
NL,comm cooking,refined liquids,refined liquids based cooking,2025,tax,15
NL,comm cooking,refined liquids,refined liquids based cooking,2030,tax,15
NL,comm cooking,refined liquids,refined liquids based cooking,2035,tax,15
NL,comm cooking,refined liquids,refined liquids based cooking,2040,tax,15
NL,comm cooking,refined liquids,refined liquids based cooking,2045,tax,15
NL,comm cooking,refined liquids,refined liquids based cooking,2050,tax,15
NL,comm cooking,refined liquids,refined liquids based cooking,2055,tax,15
NL,comm cooking,refined liquids,refined liquids based cooking,2060,tax,15
NL,comm cooking,refined liquids,refined liquids based cooking,2065,tax,15
NL,comm cooking,refined liquids,refined liquids based cooking,2070,tax,15
NL,comm cooking,refined liquids,refined liquids based cooking,2075,tax,15
NL,comm cooking,refined liquids,refined liquids based cooking,2080,tax,15
NL,comm cooking,refined liquids,refined liquids based cooking,2085,tax,15
NL,comm cooking,refined liquids,refined liquids based cooking,2090,tax,15
NL,comm cooking,refined liquids,refined liquids based cooking,2095,tax,15
NL,comm cooking,refined liquids,refined liquids based cooking,2100,tax,15
OD,comm cooking,refined liquids,refined liquids based cooking,1975,tax,15
OD,comm cooking,refined liquids,refined liquids based cooking,1990,tax,15
OD,comm cooking,refined liquids,refined liquids based cooking,2005,tax,15
OD,comm cooking,refined liquids,refined liquids based cooking,2010,tax,15
OD,comm cooking,refined liquids,refined liquids based cooking,2015,tax,15
OD,comm cooking,refined liquids,refined liquids based cooking,2020,tax,15
OD,comm cooking,refined liquids,refined liquids based cooking,2025,tax,15
OD,comm cooking,refined liquids,refined liquids based cooking,2030,tax,15
OD,comm cooking,refined liquids,refined liquids based cooking,2035,tax,15
OD,comm cooking,refined liquids,refined liquids based cooking,2040,tax,15
OD,comm cooking,refined liquids,refined liquids based cooking,2045,tax,15
OD,comm cooking,refined liquids,refined liquids based cooking,2050,tax,15
OD,comm cooking,refined liquids,refined liquids based cooking,2055,tax,15
OD,comm cooking,refined liquids,refined liquids based cooking,2060,tax,15
OD,comm cooking,refined liquids,refined liquids based cooking,2065,tax,15
OD,comm cooking,refined liquids,refined liquids based cooking,2070,tax,15
OD,comm cooking,refined liquids,refined liquids based cooking,2075,tax,15
OD,comm cooking,refined liquids,refined liquids based cooking,2080,tax,15
OD,comm cooking,refined liquids,refined liquids based cooking,2085,tax,15
OD,comm cooking,refined liquids,refined liquids based cooking,2090,tax,15
OD,comm cooking,refined liquids,refined liquids based cooking,2095,tax,15
OD,comm cooking,refined liquids,refined liquids based cooking,2100,tax,15
PC,comm cooking,refined liquids,refined liquids based cooking,1975,tax,15
PC,comm cooking,refined liquids,refined liquids based cooking,1990,tax,15
PC,comm cooking,refined liquids,refined liquids based cooking,2005,tax,15
PC,comm cooking,refined liquids,refined liquids based cooking,2010,tax,15
PC,comm cooking,refined liquids,refined liquids based cooking,2015,tax,15
PC,comm cooking,refined liquids,refined liquids based cooking,2020,tax,15
PC,comm cooking,refined liquids,refined liquids based cooking,2025,tax,15
PC,comm cooking,refined liquids,refined liquids based cooking,2030,tax,15
PC,comm cooking,refined liquids,refined liquids based cooking,2035,tax,15
PC,comm cooking,refined liquids,refined liquids based cooking,2040,tax,15
PC,comm cooking,refined liquids,refined liquids based cooking,2045,tax,15
PC,comm cooking,refined liquids,refined liquids based cooking,2050,tax,15
PC,comm cooking,refined liquids,refined liquids based cooking,2055,tax,15
PC,comm cooking,refined liquids,refined liquids based cooking,2060,tax,15
PC,comm cooking,refined liquids,refined liquids based cooking,2065,tax,15
PC,comm cooking,refined liquids,refined liquids based cooking,2070,tax,15
PC,comm cooking,refined liquids,refined liquids based cooking,2075,tax,15
PC,comm cooking,refined liquids,refined liquids based cooking,2080,tax,15
PC,comm cooking,refined liquids,refined liquids based cooking,2085,tax,15
PC,comm cooking,refined liquids,refined liquids based cooking,2090,tax,15
PC,comm cooking,refined liquids,refined liquids based cooking,2095,tax,15
PC,comm cooking,refined liquids,refined liquids based cooking,2100,tax,15
PB,comm cooking,refined liquids,refined liquids based cooking,1975,tax,15
PB,comm cooking,refined liquids,refined liquids based cooking,1990,tax,15
PB,comm cooking,refined liquids,refined liquids based cooking,2005,tax,15
PB,comm cooking,refined liquids,refined liquids based cooking,2010,tax,15
PB,comm cooking,refined liquids,refined liquids based cooking,2015,tax,15
PB,comm cooking,refined liquids,refined liquids based cooking,2020,tax,15
PB,comm cooking,refined liquids,refined liquids based cooking,2025,tax,15
PB,comm cooking,refined liquids,refined liquids based cooking,2030,tax,15
PB,comm cooking,refined liquids,refined liquids based cooking,2035,tax,15
PB,comm cooking,refined liquids,refined liquids based cooking,2040,tax,15
PB,comm cooking,refined liquids,refined liquids based cooking,2045,tax,15
PB,comm cooking,refined liquids,refined liquids based cooking,2050,tax,15
PB,comm cooking,refined liquids,refined liquids based cooking,2055,tax,15
PB,comm cooking,refined liquids,refined liquids based cooking,2060,tax,15
PB,comm cooking,refined liquids,refined liquids based cooking,2065,tax,15
PB,comm cooking,refined liquids,refined liquids based cooking,2070,tax,15
PB,comm cooking,refined liquids,refined liquids based cooking,2075,tax,15
PB,comm cooking,refined liquids,refined liquids based cooking,2080,tax,15
PB,comm cooking,refined liquids,refined liquids based cooking,2085,tax,15
PB,comm cooking,refined liquids,refined liquids based cooking,2090,tax,15
PB,comm cooking,refined liquids,refined liquids based cooking,2095,tax,15
PB,comm cooking,refined liquids,refined liquids based cooking,2100,tax,15
RJ,comm cooking,refined liquids,refined liquids based cooking,1975,tax,15
RJ,comm cooking,refined liquids,refined liquids based cooking,1990,tax,15
RJ,comm cooking,refined liquids,refined liquids based cooking,2005,tax,15
RJ,comm cooking,refined liquids,refined liquids based cooking,2010,tax,15
RJ,comm cooking,refined liquids,refined liquids based cooking,2015,tax,15
RJ,comm cooking,refined liquids,refined liquids based cooking,2020,tax,15
RJ,comm cooking,refined liquids,refined liquids based cooking,2025,tax,15
RJ,comm cooking,refined liquids,refined liquids based cooking,2030,tax,15
RJ,comm cooking,refined liquids,refined liquids based cooking,2035,tax,15
RJ,comm cooking,refined liquids,refined liquids based cooking,2040,tax,15
RJ,comm cooking,refined liquids,refined liquids based cooking,2045,tax,15
RJ,comm cooking,refined liquids,refined liquids based cooking,2050,tax,15
RJ,comm cooking,refined liquids,refined liquids based cooking,2055,tax,15
