INPUT_TABLE
Variable ID
RegionTechCapital

region,supplysector,subsector,technology,year,input.capital,capital.overnight,fixed.charge.rate
KL,electricity,coal,coal (IGCC CCS),2025,capital,1139,0.13
LA,electricity,coal,coal (IGCC CCS),2025,capital,1139,0.13
LD,electricity,coal,coal (IGCC CCS),2025,capital,1139,0.13
MH,electricity,coal,coal (IGCC CCS),2025,capital,1139,0.13
ML,electricity,coal,coal (IGCC CCS),2025,capital,1139,0.13
MN,electricity,coal,coal (IGCC CCS),2025,capital,1139,0.13
MP,electricity,coal,coal (IGCC CCS),2025,capital,1139,0.13
MZ,electricity,coal,coal (IGCC CCS),2025,capital,1139,0.13
NL,electricity,coal,coal (IGCC CCS),2025,capital,1139,0.13
OD,electricity,coal,coal (IGCC CCS),2025,capital,1139,0.13
PB,electricity,coal,coal (IGCC CCS),2025,capital,1139,0.13
PC,electricity,coal,coal (IGCC CCS),2025,capital,1139,0.13
RJ,electricity,coal,coal (IGCC CCS),2025,capital,1139,0.13
SK,electricity,coal,coal (IGCC CCS),2025,capital,1139,0.13
TN,electricity,coal,coal (IGCC CCS),2025,capital,1139,0.13
TS,electricity,coal,coal (IGCC CCS),2025,capital,1139,0.13
TR,electricity,coal,coal (IGCC CCS),2025,capital,1139,0.13
UK,electricity,coal,coal (IGCC CCS),2025,capital,1139,0.13
UP,electricity,coal,coal (IGCC CCS),2025,capital,1139,0.13
WB,electricity,coal,coal (IGCC CCS),2025,capital,1139,0.13
AN,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
AP,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
AS,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
AR,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
BR,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
CG,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
CH,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
DD,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
DL,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
DN,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
GA,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
GJ,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
HP,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
HR,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
JK,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
JH,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
KA,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
KL,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
LA,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
LD,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
MH,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
ML,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
MN,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
MP,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
MZ,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
NL,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
OD,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
PB,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
PC,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
RJ,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
SK,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
TN,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
TS,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
TR,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
UK,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
UP,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
WB,electricity,coal,coal (IGCC CCS),2030,capital,966,0.13
AN,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
AP,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
AS,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
AR,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
BR,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
CG,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
CH,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
DD,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
DL,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
DN,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
GA,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
GJ,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
HP,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
HR,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
JK,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
JH,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
KA,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
KL,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
LA,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
LD,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
MH,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
ML,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
MN,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
MP,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
MZ,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
NL,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
OD,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
PB,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
PC,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
RJ,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
SK,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
TN,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
TS,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
TR,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
UK,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
UP,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
WB,electricity,coal,coal (IGCC CCS),2035,capital,970,0.13
AN,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
AP,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
AS,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
AR,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
BR,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
CG,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
CH,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
DD,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
DL,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
DN,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
GA,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
GJ,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
HP,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
HR,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
JK,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
JH,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
KA,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
KL,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
LA,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
LD,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
MH,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
ML,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
MN,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
MP,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
MZ,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
NL,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
OD,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
PB,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
PC,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
RJ,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
SK,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
TN,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
TS,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
TR,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
UK,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
UP,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
WB,electricity,coal,coal (IGCC CCS),2040,capital,961,0.13
AN,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
AP,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
AS,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
AR,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
BR,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
CG,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
CH,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
DD,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
DL,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
DN,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
GA,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
GJ,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
HP,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
HR,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
JK,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
JH,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
KA,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
KL,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
LA,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
LD,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
MH,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
ML,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
MN,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
MP,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
MZ,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
NL,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
OD,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
PB,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
PC,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
RJ,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
SK,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
TN,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
TS,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
TR,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
UK,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
UP,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
WB,electricity,coal,coal (IGCC CCS),2045,capital,961,0.13
AN,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
AP,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
AS,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
AR,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
BR,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
CG,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
CH,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
DD,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
DL,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
DN,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
GA,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
GJ,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
HP,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
HR,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
JK,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
JH,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
KA,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
KL,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
LA,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
LD,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
MH,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
ML,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
MN,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
MP,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
MZ,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
NL,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
OD,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
PB,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
PC,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
RJ,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
SK,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
TN,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
TS,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
TR,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
UK,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
UP,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
WB,electricity,coal,coal (IGCC CCS),2050,capital,961,0.13
AN,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
AP,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
AS,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
AR,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
BR,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
CG,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
CH,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
DD,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
DL,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
DN,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
GA,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
GJ,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
HP,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
HR,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
JK,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
JH,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
KA,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
KL,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
LA,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
LD,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
MH,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
ML,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
MN,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
MP,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
MZ,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
NL,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
OD,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
PB,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
PC,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
RJ,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
SK,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
TN,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
TS,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
TR,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
UK,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
UP,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
WB,electricity,coal,coal (IGCC CCS),2055,capital,961,0.13
AN,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
AP,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
AS,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
AR,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
BR,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
CG,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
CH,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
DD,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
DL,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
DN,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
GA,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
GJ,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
HP,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
HR,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
JK,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
JH,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
KA,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
KL,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
LA,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
LD,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
MH,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
ML,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
MN,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
MP,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
MZ,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
NL,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
OD,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
PB,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
PC,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
RJ,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
SK,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
TN,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
TS,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
TR,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
UK,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
UP,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
WB,electricity,coal,coal (IGCC CCS),2060,capital,961,0.13
AN,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
AP,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
AS,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
AR,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
BR,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
CG,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
CH,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
DD,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
DL,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
DN,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
GA,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
GJ,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
HP,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
HR,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
JK,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
JH,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
KA,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
KL,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
LA,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
LD,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
MH,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
ML,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
MN,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
MP,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
MZ,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
NL,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
OD,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
PB,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
PC,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
RJ,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
SK,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
TN,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
TS,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
TR,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
UK,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
UP,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
WB,electricity,coal,coal (IGCC CCS),2065,capital,961,0.13
AN,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
AP,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
AS,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
AR,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
BR,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
CG,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
CH,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
DD,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
DL,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
DN,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
GA,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
GJ,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
HP,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
HR,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
JK,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
JH,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
KA,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
KL,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
LA,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
LD,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
MH,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
ML,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
MN,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
MP,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
MZ,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
NL,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
OD,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
PB,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
PC,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
RJ,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
SK,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
TN,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
TS,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
TR,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
UK,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
UP,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
WB,electricity,coal,coal (IGCC CCS),2070,capital,961,0.13
AN,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
AP,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
AS,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
AR,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
BR,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
CG,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
CH,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
DD,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
DL,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
DN,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
GA,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
GJ,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
HP,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
HR,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
JK,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
JH,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
KA,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
KL,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
LA,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
LD,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
MH,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
ML,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
MN,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
MP,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
MZ,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
NL,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
OD,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
PB,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
PC,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
RJ,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
SK,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
TN,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
TS,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
TR,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
UK,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
UP,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
WB,electricity,coal,coal (IGCC CCS),2075,capital,961,0.13
AN,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
AP,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
AS,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
AR,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
BR,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
CG,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
CH,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
DD,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
DL,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
DN,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
GA,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
GJ,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
HP,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
HR,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
JK,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
JH,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
KA,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
KL,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
LA,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
LD,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
MH,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
ML,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
MN,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
MP,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
MZ,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
NL,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
OD,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
PB,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
PC,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
RJ,electricity,coal,coal (IGCC CCS),2080,capital,961,0.13
