INPUT_TABLE,,,,,
Variable ID,,,,,
RegionTechCF,,,,,
,,,,,
region,supplysector,subsector,technology,year,capacity.factor
TR,electricity,refined liquids,refined liquids (CC CCS),2100,0.35
TS,electricity,refined liquids,refined liquids (CC CCS),2010,0.35
TS,electricity,refined liquids,refined liquids (CC CCS),2015,0.35
TS,electricity,refined liquids,refined liquids (CC CCS),2020,0.35
TS,electricity,refined liquids,refined liquids (CC CCS),2025,0.35
TS,electricity,refined liquids,refined liquids (CC CCS),2030,0.35
TS,electricity,refined liquids,refined liquids (CC CCS),2035,0.35
TS,electricity,refined liquids,refined liquids (CC CCS),2040,0.35
TS,electricity,refined liquids,refined liquids (CC CCS),2045,0.35
TS,electricity,refined liquids,refined liquids (CC CCS),2050,0.35
TS,electricity,refined liquids,refined liquids (CC CCS),2055,0.35
TS,electricity,refined liquids,refined liquids (CC CCS),2060,0.35
TS,electricity,refined liquids,refined liquids (CC CCS),2065,0.35
TS,electricity,refined liquids,refined liquids (CC CCS),2070,0.35
TS,electricity,refined liquids,refined liquids (CC CCS),2075,0.35
TS,electricity,refined liquids,refined liquids (CC CCS),2080,0.35
TS,electricity,refined liquids,refined liquids (CC CCS),2085,0.35
TS,electricity,refined liquids,refined liquids (CC CCS),2090,0.35
TS,electricity,refined liquids,refined liquids (CC CCS),2095,0.35
TS,electricity,refined liquids,refined liquids (CC CCS),2100,0.35
UK,electricity,refined liquids,refined liquids (CC CCS),2010,0.35
UK,electricity,refined liquids,refined liquids (CC CCS),2015,0.35
UK,electricity,refined liquids,refined liquids (CC CCS),2020,0.35
UK,electricity,refined liquids,refined liquids (CC CCS),2025,0.35
UK,electricity,refined liquids,refined liquids (CC CCS),2030,0.35
UK,electricity,refined liquids,refined liquids (CC CCS),2035,0.35
UK,electricity,refined liquids,refined liquids (CC CCS),2040,0.35
UK,electricity,refined liquids,refined liquids (CC CCS),2045,0.35
UK,electricity,refined liquids,refined liquids (CC CCS),2050,0.35
UK,electricity,refined liquids,refined liquids (CC CCS),2055,0.35
UK,electricity,refined liquids,refined liquids (CC CCS),2060,0.35
UK,electricity,refined liquids,refined liquids (CC CCS),2065,0.35
UK,electricity,refined liquids,refined liquids (CC CCS),2070,0.35
UK,electricity,refined liquids,refined liquids (CC CCS),2075,0.35
